size,time,flops,add,mul
421,2.346229,113366121,81935770,31430351
422,2.323204,114171705,82341298,31830407
423,2.344595,115241898,82875972,32365926
424,2.415696,114876610,82745742,32130868
425,2.367317,115956963,83285494,32671469
426,2.431576,116777851,83698700,33079151
427,2.331657,117868412,84243554,33624858
428,2.358731,118242993,84444802,33798191
429,2.349724,119343810,84994782,34349028
430,2.322511,120180146,85415738,34764408
431,2.316257,121291267,85970868,35320399
432,2.380911,119736992,85383484,34353508
433,2.336412,120858465,85943788,34914677
434,2.357830,121710393,86372566,35337827
435,2.471196,122842266,86938068,35904198
436,2.462246,123230391,87146350,36084041
437,2.344165,124372712,87717074,36655638
438,2.498832,125240376,88153746,37086630
439,2.321932,126393193,88729716,37663477
440,2.381354,125995017,88585036,37409981
441,2.379630,127158378,89166276,37992102
442,2.328890,128041922,89610914,38431008
443,2.338801,129215875,90197448,39018427
444,2.510530,129617784,90412884,39204900
445,2.409697,130802377,91004736,39797641
446,2.370901,131701945,91457412,40244533
447,2.536459,132897226,92054606,40842620
448,2.578390,128562623,92209082,36353541
449,2.508458,129768640,92811642,36956998
450,2.483544,130684376,93272428,37411948
451,2.489291,131901177,93880378,38020799
452,2.524891,132317110,94103088,38214022
453,2.514201,133544743,94716452,38828291
454,2.471972,134476791,95185420,39291371
455,2.510724,135715304,95804222,39911082
456,2.574582,135282848,95644396,39638452
457,2.570595,136532289,96268660,40263629
458,2.550143,137480793,96745882,40734911
459,2.716668,138741210,97375632,41365578
460,2.524403,139171407,97605736,41565671
461,2.560306,140442848,98240996,42201852
462,2.596626,141407952,98726544,42681408
463,2.439737,142690465,99367338,43323127
464,2.552537,140861830,98657052,42204778
465,2.454894,142155463,99303404,42852059
466,2.456307,143137311,99797350,43339961
467,2.441645,144442112,100449284,43992828
468,2.575272,144886813,100686902,44199911
469,2.775666,146202830,101344442,44858388
470,2.661130,147201566,101846858,45354708
471,2.650199,148528847,102510028,46018819
472,2.622951,148060719,102334360,45726359
473,2.623474,149399312,103003184,46396128
474,2.611229,150415080,103514142,46900938
475,2.630947,151765033,104188644,47576389
476,2.644443,152224478,104433896,47790582
477,2.781962,153585839,105114100,48471739
478,2.626718,154618783,105633672,48985111
479,2.637050,155991600,106319602,49671998
480,2.679702,152031896,105073138,46958758
481,2.674879,153416217,105764818,47651399
482,2.820203,154466481,106293076,48173405
483,2.663087,155862354,106990530,48871824
484,2.699601,156336783,107243536,49093247
485,2.777208,157744256,107946788,49797468
486,2.772197,158811984,108483804,50328180
487,2.721171,160231105,109192878,51038227
488,2.776719,159725913,109000672,50725241
489,2.784037,161156730,109715592,51441138
490,2.641482,162242066,110261438,51980628
491,2.626240,163684627,110982228,52702399
492,2.679157,164174280,111243108,52931172
493,2.863776,165628633,111969792,53658841
494,2.681712,166731721,112524540,54207181
495,2.643859,168197914,113257142,54940772
496,2.873619,166072887,112412938,53659949
497,2.858528,167550968,113151482,54399486
498,2.766640,168671952,113715204,54956748
499,2.676614,170161969,114459714,55702255
500,2.845400,170667086,114728588,55938498
501,2.696895,172169087,115479088,56689999
502,2.697866,173308111,116051856,57256255
503,2.775945,174822144,116808370,58013774
504,2.832519,174278496,116598930,57679566
505,2.940201,175804609,117361482,58443127
506,2.839812,176961817,117943368,59018449
507,2.784798,178500058,118711982,59788076
508,2.755912,179020879,118988970,60031909
509,2.788093,180571296,119763670,60807626
510,2.821263,181746832,120354746,61392086
511,2.907606,183309473,121135556,62173917
512,8.855375,280902385,240548778,40353607
513,8.520493,282477298,241335722,41141576
514,8.668100,283671306,241936060,41735246
515,8.600502,285258539,242729162,42529377
516,8.665020,285795304,243014384,42780920
517,8.583690,287394905,243813668,43581237
518,8.551316,288607529,244423340,44184189
519,8.606075,290219546,245228830,44990716
520,8.624821,289636050,245001460,44634590
521,8.602291,291260531,245813180,45447351
522,8.616402,292491915,246432258,46059657
523,8.594010,294128908,247250232,46878676
524,8.789105,294681857,247543808,47138049
525,8.601938,296331410,248368060,47963350
526,8.681152,297581698,248996616,48585082
527,8.656135,299243859,249827170,49416689
528,8.758126,296800408,248838032,47962376
529,8.650024,298475225,249674912,48800313
530,8.547892,299744561,250313018,49431543
531,8.774288,301432082,251156248,50275834
532,8.640352,302001455,251458298,50543157
533,8.759902,303701728,252307902,51393826
534,8.751712,304990256,252955630,52034626
535,8.672146,306703329,253811632,52891697
536,8.704538,306078593,253565636,52512957
537,8.634119,307804514,254428060,53376454
538,8.734573,309112378,255085482,54026896
539,8.669455,310851195,255954352,54896843
540,8.737431,311437232,256264996,55172236
541,8.667356,313188993,257140336,56048657
542,8.699310,314516337,257807524,56708813
543,8.736220,316281090,258689358,57591732
544,8.697460,310935426,256850500,54084926
545,8.652408,312713219,257738852,54974367
546,8.611852,314060187,258415878,55644309
547,8.720113,315851068,259310772,56540296
548,8.677275,316454009,259630130,56823879
549,8.657556,318258026,260531590,57726436
550,8.828940,319624762,261218526,58406236
551,8.669758,321441963,262126576,59315387
552,8.892008,320774595,261861258,58913337
553,8.947567,322605028,262775922,59829106
554,8.903327,323991676,263472840,60518836
555,8.820709,325835389,264394142,61441247
556,8.759887,326455474,264722334,61733140
557,8.984933,328312515,265650298,62662217
558,8.763091,329719219,266357270,63361949
559,8.768658,331589636,267291920,64297716
560,8.868475,328805729,266146832,62658897
561,8.961381,330689570,267088192,63601378
562,8.743433,332116474,267805290,64311184
563,8.624372,334013787,268753384,65260403
564,8.815154,334651256,269090530,65560726
565,8.749360,336562089,270045382,66516707
566,8.632922,338009337,270772678,67236659
567,8.884309,339933738,271734312,68199426
568,8.924320,339222346,271448976,67773370
569,9.082889,341160363,272417416,68742947
570,8.769227,342628099,273154982,69473117
571,8.792269,344579780,274130252,70449528
572,8.942653,345234873,274476472,70758401
573,8.771975,347200266,275458596,71741670
574,8.701202,348688634,276206504,72482130
575,8.738531,350667787,277195506,73472281
576,8.964189,341544424,275660984,65883440
577,8.959854,343537385,276656888,66880497
578,9.188873,345046529,277415210,67631319
579,8.877315,347053346,278418040,68635306
580,8.929976,347726303,278773454,68952849
581,9.188914,349747024,279783234,69963790
582,9.127450,351277088,280552042,70725046
583,8.778194,353311761,281568796,71742965
584,8.990752,352554953,281262746,71292207
585,9.054691,354603626,282286498,72317128
586,9.197985,356154754,283065864,73088890
587,8.949766,358217475,284096638,74120837
588,8.919317,358908536,284461366,74447170
589,8.968556,360985353,285499186,75486167
590,8.968199,362557689,286289182,76268507
591,8.939247,364648650,287334072,77314578
592,9.031657,361502255,286022018,75480237
593,8.938260,363607408,287074002,76533406
594,8.888824,365201096,287874700,77326396
595,8.959836,367320489,288933802,78386687
596,9.060788,368029894,289307964,78721930
597,9.024676,370163575,290374208,79789367
598,8.973217,371778759,291185680,80593079
599,8.965917,373926776,292259090,81667686
