size,time,flops,add,mul
445,0.228244,120096318,79475134,40621184
446,0.229637,120995886,79927810,41068076
447,0.238984,122191167,80525004,41666163
448,0.221703,117856564,80679480,37177084
449,0.221546,119062581,81282040,37780541
450,0.222282,119978317,81742826,38235491
451,0.228174,121195118,82350776,38844342
452,0.229456,121611051,82573486,39037565
453,0.233272,122838684,83186850,39651834
454,0.237164,123770732,83655818,40114914
455,0.238201,125009245,84274620,40734625
456,0.296790,124576789,84114794,40461995
457,0.236456,125826230,84739058,41087172
458,0.243689,126774734,85216280,41558454
459,0.243735,128035151,85846030,42189121
460,0.241635,128465348,86076134,42389214
461,0.248595,129736789,86711394,43025395
462,0.250680,130701893,87196942,43504951
463,0.254269,131984406,87837736,44146670
464,0.247078,130155771,87127450,43028321
465,0.246511,131449404,87773802,43675602
466,0.253955,132431252,88267748,44163504
467,0.256365,133736053,88919682,44816371
468,0.256442,134180754,89157300,45023454
469,0.259363,135496771,89814840,45681931
470,0.260499,136495507,90317256,46178251
471,0.266841,137822788,90980426,46842362
472,0.259562,137354660,90804758,46549902
473,0.263946,138693253,91473582,47219671
474,0.267875,139709021,91984540,47724481
475,0.272514,141058974,92659042,48399932
476,0.273619,141518419,92904294,48614125
477,0.276426,142879780,93584498,49295282
478,0.272172,143912724,94104070,49808654
479,0.286168,145285541,94790000,50495541
480,0.326382,141325837,93543536,47782301
481,0.267526,142710158,94235216,48474942
482,0.275293,143760422,94763474,48996948
483,0.280182,145156295,95460928,49695367
484,0.274765,145630724,95713934,49916790
485,0.280162,147038197,96417186,50621011
486,0.284312,148105925,96954202,51151723
487,0.287463,149525046,97663276,51861770
488,0.282308,149019854,97471070,51548784
489,0.286627,150450671,98185990,52264681
490,0.289231,151536007,98731836,52804171
491,0.335885,152978568,99452626,53525942
492,0.295867,153468221,99713506,53754715
493,0.296360,154922574,100440190,54482384
494,0.297634,156025662,100994938,55030724
495,0.304516,157491855,101727540,55764315
496,0.297815,155366828,100883336,54483492
497,0.303521,156844909,101621880,55223029
498,0.306550,157965893,102185602,55780291
499,0.306669,159455910,102930112,56525798
500,0.309725,159961027,103198986,56762041
501,0.307919,161463028,103949486,57513542
502,0.313580,162602052,104522254,58079798
503,0.320703,164116085,105278768,58837317
504,0.319495,163572437,105069328,58503109
505,0.321255,165098550,105831880,59266670
506,0.322628,166255758,106413766,59841992
507,0.328703,167793999,107182380,60611619
508,0.328369,168314820,107459368,60855452
